Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
of Shock	0	1	1	50		37					12	ltng-min		1	1	ltng-max		8	8						boot	ring	amul	weap				miss	rod				0	0
of Craftsmanship	0	1	1	1		1					13	dmg-max		1	2										weap	ring	amul										0	0
of Quality	0	1	1	4		3					13	dmg-max		2	2										weap												0	0
of Maiming	0	1	1	7		5					13	dmg-max		3	4										weap												0	0
of Slaying	0	1	1	11		8					13	dmg-max		5	7										weap												0	0
of Gore	0	1	1	14		10					13	dmg-max		8	10										weap												0	0
of Carnage	0	1	1	19		14					13	dmg-max		11	14									blac	weap							wand	staf				0	0
of Slaughter	0	1	1	25		18					13	dmg-max		15	20									blac	weap							wand	staf				0	0
of Maiming	0	1	1	42		31					13	dmg-max		3	4										shld	ring	amul										0	0
of Worth	0	1	1	2		1					14	dmg-min		1	1										weap							rod					0	0
of Measure	0	1	1	6		4					14	dmg-min		2	2										weap												0	0
of Excellence	0	1	1	12		9					14	dmg-min		3	3										weap	ring	amul										0	0
of Performance	0	1	1	18		13					14	dmg-min		4	5									blac	weap												0	0
of Measure	0	1	1	37		27					14	dmg-min		2	2										tors	helm	ring	amul									0	0
of Blight	0	1	1	5		3					15	pois-min		8	8	pois-max		24	24	pois-len		75	75		weap							scep					0	0
of Venom	0	1	1	15		11					15	pois-min		16	16	pois-max		48	48	pois-len		75	75		weap							scep					0	0
of Pestilence	0	1	1	25		18					15	pois-min		32	32	pois-max		72	72	pois-len		100	100	dgrn	weap							scep					0	0
of Blight	0	1	1	45		33					15	pois-min		8	8	pois-max		24	24	pois-len		75	75		ring	amul											0	0
of Dexterity	0	1	1	4		3					16	dex		1	1										ring	amul											0	0
of Dexterity	0	1	1	5		3					16	dex		1	3										scep	miss	boot	glov	ring	amul							0	0
of Skill	0	1	1	10		7					16	dex		4	6										scep	miss	boot	glov	ring	amul							0	0
of Skill	0	1	1	45		33					16	dex		4	6										armo							boot	glov				0	0
of Accuracy	0	1	1	18		13					16	dex		7	10										scep	miss	boot	glov	ring	amul							0	0
of Precision	0	1	1	22		16					16	dex		11	15										scep	miss	amul										0	0
of Precision	0	1	1	60		45					16	dex		11	15										armo	ring											0	0
of Perfection	0	1	1	30		22					16	dex		16	20									dgld	miss	glov	amul										0	0
of Balance	0	1	1	5		3					17	balance1		10	10										armo							glov					0	0
of Stability	0	1	1	9		6					17	balance3		20	20									dyel	armo							glov					0	0
																																					0	0
of Regeneration	0	1	1	10		7					19	regen		3	3										scep	belt	ring	amul									0	0
of Regeneration	0	1	1	40		30					19	regen		3	3										shld	glov											0	0
of Regeneration	0	1	1	70		52					19	regen		3	3										tors	helm	weap	boot				scep					0	0
of Regrowth	0	1	1	17		12					19	regen		5	5									cred	scep	amul											0	0
of Regrowth	0	1	1	55		41					19	regen		5	5									cred	belt	ring											0	0
of Vileness	0	1	1	9		6					20	noheal		1	1										mele							scep					0	0
																																					0	0
of Greed	0	1	1	2		1					22	gold%		40	60										ring	amul											0	0
of Wealth	0	1	1	17		12					22	gold%		80	120									lgld	boot	glov	belt	amul									0	0
of Chance	0	1	1	12		9					23	mag%		10	19										ring	amul											0	0
of Fortune	0	1	1	16		12					23	mag%		20	35									lgld	boot	glov	amul										0	0
of Energy	0	1	1	4		3					24	mana		1	1										ring	amul											0	0
of Energy	0	1	1	5		3					24	mana		1	5										rod	ring	amul										0	0
of the Mind	0	1	1	10		7					24	mana		6	10										rod	ring	amul										0	0
of Brilliance	0	1	1	18		13					24	mana		11	15										rod	ring	amul										0	0
of Sorcery	0	1	1	22		16					24	mana		16	20									dgld	rod	amul											0	0
of Wizardry	0	1	1	30		22					24	mana		21	30									dgld	rod	ring	amul										0	0
of the Bear	0	1	1	8		6					25	knock		1	1										mele												0	0
of Light	0	1	1	6		4					26	light		1	1										armo	rod	miss	ring	amul								0	0
of Radiance	0	1	1	15		11					26	light		3	3										rod	miss	ring	amul									0	0
of the Sun	0	1	1	17		12					26	light		5	5										rod	miss	glov	ring	amul								0	0
of Life	0	1	1	23		17					27	hp		5	5										tors	helm	shld	belt	amul								0	0
of the Jackal	0	1	1	3		2					27	hp		1	5										armo	rod	ring	amul									0	0
of the Fox	0	1	1	6		4					27	hp		5	10										armo	rod	ring	amul									0	0
of the Wolf	0	1	1	14		10					27	hp		11	20										armo	rod	ring	amul									0	0
of the Wolf	0	1	1	45		33					27	hp		11	20										weap							rod					0	0
of the Tiger	0	1	1	20		15					27	hp		21	30										armo	ring	amul										0	0
of the Mammoth	0	1	1	24		18					27	hp		31	40									cred	tors	helm	shld	ring	amul								0	0
of the Mammoth	0	1	1	60		45					27	hp		31	40									cred	mele	glov	belt					rod					0	0
of the Colosuss	0	1	1	30		22					27	hp		41	60									cred	tors	helm	shld	belt	amul								0	0
of the Leech	0	1	1	6		4					28	lifesteal		4	7										weap	ring	amul										0	0
of the Locust	0	1	1	20		15					28	lifesteal		8	10									cred	mele												0	0
of the Bat	0	1	1	6		4					29	manasteal		4	8										weap	ring	amul										0	0
of the Vampire	0	1	1	20		15					29	manasteal		9	12									cblu	mele												0	0
of Defiance	0	1	1	25		18					30	res-pois-len		75	75									dred	tors	helm	shld	amul									0	0
of Amelioration	0	1	1	18		13					30	res-pois-len		50	50										tors	helm	shld	amul									0	0
of Remedy	0	1	1	7		5					30	res-pois-len		25	25										armo	ring	amul										0	0
																																					0	0
of Simplicity	0	1	1	25		18					32	ease		-40	-40										tors	helm	weap	shld				rod					0	0
of Ease	0	1	1	15		11					32	ease		-20	-20										tors	helm	weap	shld				rod					0	0
																																					0	0
of Strength	0	1	1	5		3					34	str		1	3										belt	ring	amul										0	0
of Might	0	1	1	10		7					34	str		4	6										mele	shld	ring	amul				wand	staf				0	0
of the Ox	0	1	1	18		13					34	str		7	10										mele	belt	ring	amul				wand	staf				0	0
of the Ox	0	1	1	47		35					34	str		7	10										shld	boot	glov										0	0
of the Giant	0	1	1	22		16					34	str		11	15									dgld	mele	belt	amul					wand	staf				0	0
of the Giant	0	1	1	62		46					34	str		11	15									dgld	boot	glov	ring	shld									0	0
of the Titan	0	1	1	30		22					34	str		16	20									dgld	boot	belt	amul										0	0
of Pacing	0	1	1	2		1					35	move1		10	10										boot												0	0
of Haste	0	1	1	12		9					35	move2		20	20										boot												0	0
of Speed	0	1	1	22		16					35	move3		30	30										boot												0	0
Expansion																																						
of Health	1	1	1	7		5				4	1	red-dmg		1	1										tors	shld	ring	amul	circ								0	0
of Protection	1	1	1	18		13				4	1	red-dmg		2	2										ring	amul	circ										0	0
of Absorption	1	1	1	26		19				4	1	red-dmg		3	3										amul	circ											0	0
of Life	1	1	1	35		26				4	1	red-dmg		4	4									dblu	amul	circ											0	0
of Life Everlasting	100	1		45		37				4	1	red-dmg		10	25										amul	circ											0	0
of Protection	1	1	1	24		18				4	1	red-dmg		2	2										tors	shld	circ										0	0
of Absorption	1	1	1	32		24				4	1	red-dmg		3	3										tors	shld	circ										0	0
of Life	1	1	1	41		33				4	1	red-dmg		4	7										tors	shld	circ										0	0
of Anima	100	1		51		43				4	1	red-dmg		8	15										tors	shld	circ										0	0
of Warding	1	1	1	7		5				4	2	red-mag		1	1										tors	shld	ring	amul	orb	circ							0	0
of the Sentinel	1	1	1	18		12				4	2	red-mag		2	2										ring	amul	orb	circ									0	0
of Guarding	1	1	1	26		19				4	2	red-mag		3	3										amul	orb	circ										0	0
of Negation	100	1		42		35				4	2	red-mag		4	6										amul	orb	circ										0	0
of the Sentinel	1	1	1	24		18				4	2	red-mag		2	2										tors	shld	circ										0	0
of Guarding	1	1	1	32		24				4	2	red-mag		3	3										tors	shld	circ										0	0
of Negation	100	1		41		33				4	2	red-mag		4	6										tors	shld	circ										0	0
of Coolness	100		1	11		8				1	3	abs-fire		2	2										tors	shld	boot	circ									0	0
of Incombustibility	100		1	19		14				1	3	abs-fire		3	3										tors	shld	boot	circ									0	0
of Amianthus	100		1	28		21				1	3	abs-fire		4	5										tors	shld	boot	circ									0	0
of Fire Quenching	100			38		30				1	3	abs-fire		6	8										tors	shld	boot	circ									0	0
of Coolness	100		1	13		9				1	3	abs-fire		2	2										ring	amul	orb	circ									0	0
of Incombustibility	100		1	22		16				1	3	abs-fire		3	3										amul	orb	circ										0	0
of Amianthus	100		1	33		25				1	3	abs-fire		4	5										amul	orb	circ										0	0
of Fire Quenching	100			46		38				1	3	abs-fire		6	8										amul	orb	circ										0	0
of Faith	100		1	23		17				1	3	abs-fire		1	2										jewl												0	0
of Resistance	100		1	11		8				1	3	abs-ltng		2	2										tors	shld	boot	circ									0	0
of Insulation	100		1	19		14				1	3	abs-ltng		3	3										tors	shld	boot	circ									0	0
of Grounding	100		1	28		21				1	3	abs-ltng		4	5										tors	shld	boot	circ									0	0
of the Dynamo	100			38		30				1	3	abs-ltng		6	8										tors	shld	boot	circ									0	0
of Resistance	100		1	13		9				1	3	abs-ltng		2	2										ring	amul	orb	circ									0	0
of Insulation	100		1	22		16				1	3	abs-ltng		3	3										amul	orb	circ										0	0
of Grounding	100		1	33		25				1	3	abs-ltng		4	5										amul	orb	circ										0	0
of the Dynamo	100			46		38				1	3	abs-ltng		6	8										amul	orb	circ										0	0
of Stoicism	100		1	22		16				1	3	abs-ltng		1	2										jewl												0	0
of Warming	100		1	11		8				1	3	abs-cold		2	2										tors	shld	boot	circ									0	0
of Thawing	100		1	19		14				1	3	abs-cold		3	3										tors	shld	boot	circ									0	0
of the Dunes	100		1	28		21				1	3	abs-cold		4	5										tors	shld	boot	circ									0	0
of the Sirocco	100			38		30				1	3	abs-cold		6	8										tors	shld	boot	circ									0	0
of Warming	100		1	13		9				1	3	abs-cold		2	2										ring	amul	orb	circ									0	0
of Thawing	100		1	22		16				1	3	abs-cold		3	3										amul	orb	circ										0	0
of the Dunes	100		1	33		25				1	3	abs-cold		4	5										amul	orb	circ										0	0
of the Sirocco	100			46		38				1	3	abs-cold		6	8										amul	orb	circ										0	0
of Desire	100		1	23		17				1	3	abs-cold		1	2										jewl												0	0
of Piercing	1	1	1	25		18				2	4	ignore-ac		1	1										rod	knif	h2h										0	0
of Bashing	100		1	16		12				4	5	dmg-ac		-25	-40										blun							wand	staf	orb			0	0
of Puncturing	100		1	6		4				4	5	dmg-ac		-10	-20										spea	knif	h2h										0	0
of Thorns	1	1	1	14		10				4	6	thorns		1	3										tors	shld	belt	circ									0	0
of Spikes	1	1	1	21		15				4	6	thorns		4	6									oran	tors	shld	belt	circ									0	0
of Razors	100	1	1	34		26				4	6	thorns		7	9									oran	tors	shld	circ										0	0
of Swords	100	1		47		39				4	6	thorns		10	20									oran	tors	shld	circ										0	0
of Malice	100	1	1	37		29				4	6	thorns		1	5										jewl												0	0
of Readiness	1	1	1	5		3				6	7	swing1		10	10										weap							wand	orb				0	0
of Alacrity	1	1	1	25		17				6	7	swing2		20	20										weap							wand	orb				0	0
of Swiftness	1	1	1	34		26				6	7	swing2		30	30										mele							wand	staf	orb			0	0
of Quickness	1	1	1	46		38				5	7	swing3		40	40									dyel	mele							wand	staf	orb			0	0
of Alacrity	100	1	1	43		35				4	7	swing2		20	20									dyel	glov												0	0
of Fervor	100	1		39		31				4	7	swing1		15	15										jewl												0	0
of Blocking	1	1	1	1		1				7	8	block		10	10	block2		15	15						shld												0	0
of Deflecting	1	1	1	11		8				6	8	block		20	20	block2		30	30						shld												0	0
of the Apprentice	1	1	1	5		3				6	9	cast1		10	10										rod	ring	amul	orb	circ								0	0
of the Magus	1	1	1	29		21				5	9	cast3		20	20										rod	orb	circ					scep					0	0
of Frost	1	1	1	4		3				5	10	cold-min		1	1	cold-max		1	2	cold-len		50	50		weap							wand	orb				0	0
of the Icicle	100	1	1	13		9				4	10	cold-min		1	1	cold-max		3	4	cold-len		75	75		weap							wand	orb				0	0
of the Glacier	1	1	1	27		20				3	10	cold-min		2	4	cold-max		4	15	cold-len		100	100	dblu	weap							wand	orb				0	0
of Winter	100	1	1	45		37				2	10	cold-min		5	9	cold-max		16	50	cold-len		150	150	dblu	mele							wand	orb				0	0
of Frost	1	1	1	55		41				2	10	cold-min		1	1	cold-max		3	6	cold-len		50	50		belt	amul											0	0
of Frigidity	100	1	1	16		12				2	10	cold-min		1	1	cold-max		3	5	cold-len		50	50	dblu	jewl												0	0
of Warmth	1	1	1	10		7				4	11	half-freeze		1	1										shld	boot	glov	ring	amul	circ	orb						0	0
of Flame	1	1	1	4		3				5	12	fire-min		1	1	fire-max		2	5						weap							wand	orb				0	0
of Fire	1	1	1	15		11				4	12	fire-min		1	4	fire-max		6	11						weap							wand	orb				0	0
of Burning	1	1	1	25		18				3	12	fire-min		5	9	fire-max		10	20					dred	weap							wand	orb				0	0
of Incineration	100	1	1	43		35				2	12	fire-min		10	20	fire-max		21	75					dred	mele							wand	orb				0	0
of Flame	100	1	1	40		30				2	12	fire-min		1	1	fire-max		2	6						glov	ring	amul										0	0
of Passion	100	1	1	15		11				2	12	fire-min		1	3	fire-max		6	10					dred	jewl												0	0
of Shock	1	1	1	4		3				5	13	ltng-min		1	1	ltng-max		6	8						weap							wand	orb				0	0
of Lightning	1	1	1	15		11				4	13	ltng-min		1	1	ltng-max		9	16						weap							wand	orb				0	0
of Thunder	1	1	1	25		18				3	13	ltng-min		1	1	ltng-max		17	40					dyel	weap							wand	orb				0	0
of Storms	100	1	1	34		26				2	13	ltng-min		1	6	ltng-max		41	120					dyel	mele							wand	orb				0	0
of Shock	100	1	1	50		37				2	13	ltng-min		1	1	ltng-max		11	23						boot	ring	amul										0	0
of Ennui	100	1	1	15		11				2	13	ltng-min		1	1	ltng-max		10	20					dyel	jewl												0	0
of Craftsmanship	1	1	1	1		1				8	14	dmg-max		1	1										weap	ring	amul					wand	staf	orb			0	0
of Quality	1	1	1	4		3				8	14	dmg-max		2	2										weap							wand	staf	orb			0	0
of Maiming	1	1	1	7		5				7	14	dmg-max		3	4										weap							wand	staf	orb			0	0
of Slaying	1	1	1	11		8				7	14	dmg-max		5	7										weap							wand	staf	orb			0	0
of Gore	1	1	1	14		10				6	14	dmg-max		8	10										weap							wand	staf	orb			0	0
of Carnage	1	1	1	19		14				6	14	dmg-max		11	14									blac	weap							wand	staf	orb			0	0
of Slaughter	1	1	1	25		18				5	14	dmg-max		15	20									blac	weap							wand	staf	orb			0	0
of Butchery	100	1		35		27				5	14	dmg-max		21	40									blac	weap							wand	staf	orb			0	0
of Evisceration	100	1		45		37				4	14	dmg-max		41	63									blac	weap							wand	staf	orb			0	0
of Maiming	1	1	1	42		34				4	14	dmg-max		3	4										shld	ring	amul										0	0
of Craftsmanship	100	1	1	1	7	1				4	14	dmg-max		1	2										circ												0	0
of Craftsmanship	100	1	1	8	14	6				4	14	dmg-max		2	3										circ												0	0
of Craftsmanship	100	1	1	15		11				4	14	dmg-max		4	5										circ												0	0
of Quality	100	1	1	23	29	17				4	14	dmg-max		6	7										circ												0	0
of Quality	100	1	1	30		22				4	14	dmg-max		7	8										circ												0	0
of Maiming	100	1		37	44	29				4	14	dmg-max		9	10										circ												0	0
of Maiming	100	1		45		37				4	14	dmg-max		11	12										circ												0	0
of Craftsmanship	100	0	1	8	17	6				4	14	dmg-max		1	1										mcha												0	0
of Craftsmanship	100	0	1	18		13				4	14	dmg-max		2	2										mcha												0	0
of Quality	100	0	1	28	37	21				4	14	dmg-max		3	4										mcha												0	0
of Quality	100	0	1	38		30				4	14	dmg-max		5	6										mcha												0	0
of Maiming	100	0		48		40				4	14	dmg-max		7	8										mcha												0	0
of Craftsmanship	100	0	1	21		15				4	14	dmg-max		1	1										scha												0	0
of Quality	100	0	1	36		28				4	14	dmg-max		2	2										scha												0	0
of Maiming	100	0		51		43				4	14	dmg-max		3	4										scha												0	0
of Ire	100	1	1	4		3				4	14	dmg-max		2	5										jewl												0	0
of Wrath	100	1	1	11		8				4	14	dmg-max		6	9									blac	jewl												0	0
of Carnage	100	1		25		18				4	14	dmg-max		11	15									blac	jewl													
of Worth	1	1	1	1		1				8	15	dmg-min		1	2										weap							staf	wand	orb			0	0
of Measure	1	1	1	12		9				7	15	dmg-min		3	4										weap							staf	wand	orb			0	0
of Excellence	1	1	1	24		18				6	15	dmg-min		5	8										weap							staf	wand	orb			0	0
of Performance	1	1	1	48		40				5	15	dmg-min		9	14									blac	weap							staf	wand	orb			0	0
of Transcendence	100	1	1	76		68				4	15	dmg-min		15	20									blac	weap							staf	wand	orb			0	0
of Worth	1	1	1	15		11				4	15	dmg-min		2	3										ring	amul	circ										0	0
of Measure	1	1	1	37		29				4	15	dmg-min		4	5										ring	amul	circ										0	0
of Excellence	1	1	1	59		51				4	15	dmg-min		6	9										ring	amul	circ										0	0
of Performance	100	1		81		73				4	15	dmg-min		10	13										ring	amul	circ										0	0
of Joyfulness	100	1	1	5		3				4	15	dmg-min		1	4									whit	jewl												0	0
of Bliss	100	1	1	43		37				4	15	dmg-min		5	10									whit	jewl												0	0
of Blight	1	1	1	5		3				5	16	dmg-pois	75	24	24										weap	circ						rod	orb				0	0
of Venom	1	1	1	15		11				4	16	dmg-pois	100	54	54										weap	circ						rod	orb				0	0
of Pestilence	1	1	1	25		18				3	16	dmg-pois	125	103	103									dgrn	weap	circ						rod	orb				0	0
of Anthrax	100	1	1	33		25				2	16	dmg-pois	150	171	171									dgrn	weap							rod	orb				0	0
of Blight	100	1	1	45		33				2	16	dmg-pois	75	171	171										ring	amul											0	0
of Envy	100	1	1	1		1				2	16	dmg-pois	50	103	103									dgrn	jewl												0	0
of Dexterity	1	1	1	1		1				4	17	dex		1	2										amul	miss	circ										0	0
of Skill	1	1	1	11		8				3	17	dex		3	5										amul	miss	circ										0	0
of Accuracy	1	1	1	27		20				3	17	dex		6	9										amul	miss	circ										0	0
of Precision	1	1	1	43		35				3	17	dex		10	15										amul	miss	circ										0	0
of Perfection	1	1	1	59		51				3	17	dex		16	20									dgld	amul	miss	circ										0	0
of Nirvana	100	1		72		64				3	17	dex		21	30									dgld	amul	miss	circ										0	0
of Dexterity	1	1	1	6		4				4	17	dex		1	2										ring	glov											0	0
of Skill	1	1	1	22		16				3	17	dex		3	5										ring	glov											0	0
of Accuracy	1	1	1	39		31				3	17	dex		6	9										ring	glov											0	0
of Precision	1	1	1	56		48				3	17	dex		10	15										ring	glov											0	0
of Perfection	100	1		75		67				3	17	dex		16	20									dgld	ring	glov											0	0
of Dexterity	1	1	1	13		9				3	17	dex		2	3										tors	boot						glov					0	0
of Skill	1	1	1	34		26				3	17	dex		4	5										tors	boot						glov					0	0
of Accuracy	1	1	1	46		38				3	17	dex		6	9										tors	boot						glov					0	0
of Precision	100	1		60		52				3	17	dex		10	15									dgld	tors	boot						glov					0	0
of Dexterity	100	1	1	1		1				4	31	dex		3	4										lcha												0	0
of Dexterity	100	1	1	3		2				4	31	dex		2	3										mcha												0	0
of Dexterity	100	1	1	7		5				4	31	dex		1	1										scha												0	0
of Dexterity	100	1	1	14		10				4	31	dex		5	6										lcha												0	0
of Dexterity	100	1	1	18		13				4	31	dex		4	5										mcha												0	0
of Dexterity	100	1	1	22		16				4	31	dex		2	2										scha												0	0
of Daring	100	1	1	7		5				3	17	dex		1	3										jewl												0	0
of Balance	1	1	1	5		3				4	18	balance1		10	10										armo							glov					0	0
of Equilibrium	1	1	1	9		6				4	18	balance2		17	17										tors	belt	shld										0	0
of Stability	1	1	1	18		13				4	18	balance3		24	24									dyel	tors	belt											0	0
of Balance	100	1	1	1		1				4	18	balance3		12	12										lcha												0	0
of Balance	100	1	1	19		14				4	18	balance2		8	8										mcha												0	0
of Balance	100	1	1	37		29				4	18	balance1		5	5									dyel	scha												0	0
of Truth	100	1	1	44		36				4	18	balance1		7	7										jewl												0	0
of Regeneration	1	1	1	10		7				4	19	regen		3	5										scep	belt	ring	amul	circ								0	0
of Regeneration	1	1	1	40		30				4	19	regen		3	5										shld	glov											0	0
of Regeneration	1	1	1	70		52				4	19	regen		3	5										tors	weap	boot					scep					0	0
of Regrowth	1	1	1	17		12				4	19	regen		6	10									cred	scep	amul	circ										0	0
of Regrowth	1	1	1	55		41				4	19	regen		6	9									cred	belt	ring											0	0
of Revivification	100	1		38		30				4	19	regen		11	15									cred	scep	amul	circ										0	0
of Honor	100	1	1	47		35				4	19	regen		1	4										jewl												0	0
of Vileness	1	1	1	9		6				3	20	noheal		1	1										mele							rod	orb				0	0
of Greed	1	1	1	1		1				4	21	gold%		25	40										ring	amul	circ										0	0
of Wealth	1	1	1	17		12				4	21	gold%		41	80									lgld	boot	glov	belt	amul	circ								0	0
of Greed	100	1	1	1		1				4	21	gold%		10	20										lcha												0	0
of Greed	100	1	1	7		5				4	21	gold%		21	30										lcha												0	0
of Greed	100	1	1	19		14				4	21	gold%		31	40										lcha												0	0
of Greed	100	1	1	1		5				4	21	gold%		5	10										mcha												0	0
of Greed	100	1	1	20		15				4	21	gold%		11	22										mcha												0	0
of Greed	100	1	1	1		15				4	21	gold%		5	10										scha												0	0
of Avarice	100	1	1	1		1				4	21	gold%		10	30										jewl												0	0
of Chance	1	1	1	12		9				4	22	mag%		5	15										boot	glov	ring	amul	circ								0	0
of Fortune	1	1	1	16		12				4	22	mag%		16	25									lgld	boot	glov	amul	circ									0	0
of Fortune	1	1		42		31				4	22	mag%		16	25									lgld	ring												0	0
of Luck	100	1		26		19				4	22	mag%		26	35									lgld	boot	amul	circ										0	0
of Fortune	100	1	1	31		18				3	22	mag%		3	5										scha												0	0
of Good Luck	100	1		47		33				2	22	mag%		6	7										scha												0	0
of Prosperity	100	1	1	26		19				2	22	mag%		5	10										jewl												0	0
of Energy	1	1	1	1		1				4	23	enr		1	3										amul	orb	circ	wand	staf								0	0
of the Mind	1	1	1	7		3				4	23	enr		4	6										amul	orb	circ	wand	staf								0	0
of Brilliance	1	1	1	13		9				3	23	enr		7	10										amul	orb	circ	wand	staf								0	0
of Sorcery	1	1	1	21		16				3	23	enr		11	15										amul	orb	circ	wand	staf								0	0
of Wizardry	1	1	1	31		23				3	23	enr		16	20									dgld	amul	orb	circ	wand	staf								0	0
of Enlightenment	100	1		41		33				3	23	enr		21	30									dgld	amul	orb	circ	wand	staf								0	0
of Energy	1	1	1	7		5				4	23	enr		1	3										ring												0	0
of the Mind	1	1	1	13		9				3	23	enr		4	6										ring												0	0
of Brilliance	1	1	1	21		16				3	23	enr		7	10										ring												0	0
of Sorcery	1	1	1	31		23				3	23	enr		11	15										ring												0	0
of Wizardry	100	1		41		33				3	23	enr		16	20									dgld	ring												0	0
of Energy	1	1	1	4		3				3	23	enr		1	3										helm	scep											0	0
of the Mind	1	1	1	10		7				3	23	enr		4	6										helm	scep											0	0
of Brilliance	1	1	1	16		12				3	23	enr		7	10										helm	scep											0	0
of Sorcery	100	1		26		21				3	23	enr		11	15									dgld	helm	scep											0	0
of Knowledge	100	1	1	9		6				3	23	enr		1	5										jewl												0	0
of the Bear	1	1	1	8		6				3	24	knock		1	1										mele												0	0
of Light	1	1	1	6		4				1	25	light		1	1	att		15	15						armo	rod	ring	amul									0	0
of Radiance	1	1	1	15		11				1	25	light		3	3	att		30	30						rod	miss	ring	amul	helm								0	0
of the Sun	1	1	1	17		12				1	25	light		5	5	att%		5	5						rod	miss	glov	ring	amul	helm							0	0
of the Jackal	1	1	1	1		1				3	26	hp		1	5										tors	belt	amul	phlm	circ								0	0
of the Fox	1	1	1	7		5				3	26	hp		6	10										tors	belt	amul	phlm	circ								0	0
of the Wolf	1	1	1	15		11				3	26	hp		11	20										tors	belt	amul	phlm	circ								0	0
of the Tiger	1	1	1	20		15				3	26	hp		21	30										tors	belt	amul	phlm	circ								0	0
of the Mammoth	1	1	1	25		18				3	26	hp		31	40									cred	tors	belt	amul	phlm	circ								0	0
of the Colosuss	1	1	1	30		22				3	26	hp		41	60									cred	tors	belt	amul	phlm	circ								0	0
of the Squid	100	1		40		30				3	26	hp		61	80									cred	tors	belt	amul	phlm	circ								0	0
of the Whale	100	1		50		37				3	26	hp		81	100									cred	tors	belt	amul	phlm	circ								0	0
of the Jackal	100	1	1	4		3				3	26	hp		1	5										shld	pelt											0	0
of the Fox	100	1	1	11		8				3	26	hp		6	10										shld	pelt											0	0
of the Wolf	100	1	1	27		20				3	26	hp		11	20										shld	pelt											0	0
of the Tiger	100	1	1	43		35				3	26	hp		21	30										shld	pelt											0	0
of the Mammoth	100	1	1	59		51				3	26	hp		31	40									cred	shld	pelt											0	0
of the Colosuss	100	1		75		67				3	26	hp		41	60									cred	shld	pelt											0	0
of the Jackal	1	1	1	8		6				3	26	hp		1	5										club	hamm	mace	ring	helm								0	0
